names,out
YKR026C,271
YGR218W,0
YGL097W,0
YLR249W,331
YLR293C,0
YMR146C,332
YDR429C,332
YPR080W,331
YBR118W,331
YOL123W,271
YPL211W,333
YJL030W,333
YJL013C,333
YGL122C,271
YGR014W,333
YGR203W,175
YCR084C,355
YER112W,41
YJR022W,41
YER116C,175
YNL307C,63
YNL216W,63
YAL030W,77
YOR327C,77
YER062C,260
YDR412W,335
YDL014W,282
YER179W,332
YOR361C,332
YOR326W,36
YMR186W,201
YEL009C,54
YMR138W,41
YCL032W,201
YCR012W,63
YBR019C,126
YOL051W,126
YIR009W,336
YNL236W,126
YML032C,54
YLR116W,126
YCR086W,335
YDR309C,355
YGR058W,335
YJR109C,67
YLR256W,347
YGL237C,347
YBL021C,347
YDR311W,336
YPL149W,335
YKL109W,347
YMR043W,355
YHR171W,335
YNR050C,41
YJL203W,175
YLL021W,40
YGL013C,335
YKL101W,332
YCL067C,355
YBL005W,335
YDR323C,201
YGL008C,355
YER040W,337
YNL098C,348
YGL115W,7
YPL089C,40
YJL089W,355
YMR021C,354
YDR335W,77
YLL028W,348
YIL143C,336
YDL081C,42
YKL012W,126
YEL015W,77
YHR135C,351
YMR309C,332
YNL154C,351
YJR066W,126
YDR382W,113
YFL039C,113
YPL075W,63
YNL199C,63
YLR321C,335
YBR072W,348
YCL030C,336
YBL069W,355
YNL189W,54
YDR184C,336
YNL311C,338
YOL058W,54
YOL016C,36
YJL036W,319
YEL041W,339
YNL167C,126
YDL063C,84
YGL161C,201
YMR183C,77
YMR291W,7
YGR048W,340
YAL040C,355
YFR034C,63
YFR037C,249
YER133W,335
YGL035C,126
YFL038C,201
YOR355W,63
YML074C,133
YMR058W,356
YML123C,63
YPL031C,271
YAL038W,63
YML051W,126
YLL019C,40
YML024W,63
YOR039W,67
YER111C,40
YDR146C,355
YKL211C,350
YDR354W,54
YNL113W,101
YLR310C,348
YNL047C,332
YBR160W,332
YIL113W,40
YLR117C,335
YFL017C,332
YMR044W,175
YOL149W,41
YOR036W,201
YLR191W,342
YER110C,253
YBR135W,332
YNL214W,342
YJR060W,63
YOR089C,201
YNL117W,355
YLR175W,63
YDR167W,337
YGR108W,332
YDR244W,342
YPR119W,335
YDR142C,342
YBR020W,126
YDR009W,126
YPL248C,126
YAR007C,54
YKL161C,40
YNL312W,54
YLR075W,343
YLR229C,355
YPL240C,201
YOL156W,335
YML064C,77
YER052C,77
YPR124W,354
YGL166W,348
YGL134W,271
YJL194W,355
YLR264W,41
YBL050W,77
YNL145W,355
YBR274W,271
YLR452C,201
YDR299W,355
YIL074C,338
YLR319C,336
YGL073W,348
YOR120W,126
YPR041W,332
YNL135C,77
YBR217W,335
YMR255W,271
YLR258W,271
YDL215C,337
YER079W,351
YDL030W,175
YLR362W,201
YHR084W,355
YGR085C,343
YKL074C,126
YGR088W,347
YER081W,338
YPR113W,355
YIL070C,347
YIL061C,175
YGR046W,126
YNL091W,63
YHR030C,40
YPR048W,63
YHR005C,201
YDR070C,332
YJL157C,355
YNL036W,336
YML114C,337
YMR117C,201
YHR115C,339
YGR009C,77
YDL088C,253
YLR197W,282
YGL202W,349
YIL162W,126
YBR170C,340
YOR212W,201
YDR103W,201
YDL023C,355
YGR136W,335
YBR109C,36
YDR395W,343
YLR345W,335
YBL079W,253
YBR045C,335
YER054C,335
YPR145W,201
YNR053C,175
YGR074W,349
YDR277C,41
YBL026W,41
YOR204W,0
YAL003W,331
YGL044C,271
YGL229C,333
YBR112C,355
YOR167C,41
YNL050C,41
YDL013W,175
YGR254W,63
YHR174W,63
YIL133C,63
YLR044C,332
YOL120C,63
YNL301C,63
YDR171W,63
YBR093C,63
YER074W,63
YIL069C,63
YOL127W,63
YDR050C,63
YOL086C,63
YER143W,77
YPL201C,260
YOR310C,282
YLR134W,332
YIL105C,332
YGL106W,36
YBR155W,201
YMR108W,54
YOR202W,54
YBR248C,54
YMR300C,54
YHR141C,41
YLR109W,41
YDR032C,201
YLR081W,126
YBR018C,126
YKR099W,336
YOR264W,335
YOR303W,67
YML054C,347
YJR048W,347
YEL039C,347
YKL028W,336
YIL015W,355
YJL159W,355
YKR097W,355
YDR461W,355
YFL026W,355
YNR007C,335
YOL136C,175
YJL219W,335
YPR035W,337
YGR019W,337
YGL208W,7
YER065C,54
YLR377C,126
YLR214W,354
YDR174W,77
YLR340W,42
YNL116W,351
YKL204W,351
YDL130W,113
YCL040W,113
YHR179W,113
YDL236W,54
YPL111W,54
YPR062W,54
YKL001C,338
YDL113C,319
YPL131W,84
YDR100W,201
YPL222W,340
YOR290C,249
YOR178C,335
YOR315W,335
YMR311C,335
YBR050C,335
YJL190C,133
YER145C,356
YHR071W,271
YER090W,350
YPR110C,101
YER103W,348
YBR190W,335
YOL059W,332
YER102W,332
YOR362C,332
YGL153W,342
YML007W,253
YPR167C,63
YLR432W,337
YDL078C,342
YIL160C,342
YPR102C,343
YHR198C,77
YLR284C,77
YHR053C,348
YHR055C,348
YIL045W,335
YMR005W,175
YER124C,201
YLR153C,175
YNL164C,63
YPR010C,201
YOR215C,339
YFR014C,36
YDL075W,343
YNL069C,343
YER056CA,343
YIL052C,343
YBR043C,349
YDL194W,41
